CISP;mes;vano;mes_ano;area_cisp;AISP;RISP;munic;mcirc;Regiao;hom_doloso;lesao_corp_morte;latrocinio;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;encontro_cadaver;encontro_ossada;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;recuperacao_veiculos;cump_mandado_prisao;ameaca;pessoas_desaparecidas;hom_por_interv_policial;armas_apreendidas;prisoes;grp;apf_cmp;apreensoes;gaai;aaapai_cmba;registro_ocorrencias;pol_militares_mortos_serv;pol_civis_mortos_serv;indicador_letalidade;indicador_roubo_rua;indicador_roubo_veic;fase
1;1;2003;2003m1;3,5;5;1;Rio de Janeiro;3304557;Capital;0;0;0;1;40;0;1;15;0;0;14;0;5;1;26;8;0;0;32;0;;14;12;;157;0;1;0;69;1;5;8;21;2;0;4;;;;;;;578;0;0;0;66;5;3
4;1;2003;2003m1;3,8;5;1;Rio de Janeiro;3304557;Capital;3;0;0;0;47;1;4;35;0;1;5;0;9;1;25;12;0;1;14;1;;14;9;;106;0;1;0;1;35;7;1;15;6;0;5;;;;;;;441;0;0;3;51;9;3
5;1;2003;2003m1;3;5;1;Rio de Janeiro;3304557;Capital;3;0;0;1;73;2;1;19;1;0;10;1;11;5;26;4;2;0;34;2;;28;28;;188;0;0;0;37;4;10;5;47;2;0;9;;;;;;;637;0;0;3;64;11;3
6;1;2003;2003m1;6;1;1;Rio de Janeiro;3304557;Capital;6;0;0;2;43;2;1;20;1;0;10;0;27;6;14;22;0;0;20;0;;44;17;;73;0;0;0;8;20;77;3;26;2;0;7;;;;;;;473;0;0;6;56;27;3
7;1;2003;2003m1;5,2;1;1;Rio de Janeiro;3304557;Capital;4;0;0;2;18;2;0;2;3;0;0;2;23;1;4;0;0;0;1;0;;24;12;;23;0;0;0;4;3;9;1;10;1;0;1;;;;;;;147;0;0;4;5;23;3
9;1;2003;2003m1;6,9;2;1;Rio de Janeiro;3304557;Capital;1;1;0;3;44;0;0;15;0;0;4;3;30;0;18;10;0;0;16;0;;43;87;;181;0;0;0;20;11;20;1;36;3;0;3;;;;;;;554;0;0;2;44;30;3
10;1;2003;2003m1;8,2;2;1;Rio de Janeiro;3304557;Capital;1;0;0;4;48;1;0;26;3;0;4;4;20;0;26;10;1;0;17;1;;29;78;;212;0;0;0;19;7;19;3;40;2;0;1;;;;;;;593;0;0;1;53;20;3
12;1;2003;2003m1;3,2;19;1;Rio de Janeiro;3304557;Capital;2;0;0;4;45;1;0;14;0;0;6;2;3;1;20;5;0;0;22;1;;71;15;;241;0;1;0;18;11;6;6;48;3;1;3;;;;;;;620;0;0;3;47;3;3
13;1;2003;2003m1;1,9;19;1;Rio de Janeiro;3304557;Capital;0;0;0;0;16;0;0;15;0;0;6;2;6;0;20;4;0;0;10;0;;31;19;;198;0;1;0;15;14;14;2;26;1;0;5;;;;;;;455;0;0;0;34;6;3
14;1;2003;2003m1;5,2;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;30;1;1;30;2;0;12;3;19;0;25;6;0;0;11;0;;42;30;;281;0;1;0;16;10;12;2;43;2;0;3;;;;;;;636;0;0;0;42;19;3
