mês;ano;hom_doloso;lesao_corp_morte;latrocinio;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;encontro_cadaver;encontro_ossada;roubo_comercio;roubo_residencia;roubo_veiculo;roubo_carga;roubo_transeunte;roubo_em_coletivo;roubo_banco;roubo_cx_eletronico;roubo_celular;roubo_conducao_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;recuperacao_veiculos;cump_mandado_prisao;ameaca;pessoas_desaparecidas;hom_por_interv_policial;armas_apreendidas;prisoes;grp;apf_cmp;apreensoes;gaai;aaapai_cmba;registro_ocorrencias;pol_militares_mortos_serv;pol_civis_mortos_serv;letalidade;roubo_rua;roubo_veic_meta;fase
1;1991;657;;15;162;3051;;;;217;;350;188;1174;63;967;381;37;;;;;158;2009;;4708;;;;;133;872;;;;;;;;;;;;;;;672;1348;1174;3
2;1991;732;;17;175;3421;;;;209;;357;171;1097;64;963;432;35;;;;;142;1850;;4375;;;;;127;751;;;;;;;;;;;;;;;749;1395;1097;3
3;1991;713;;25;216;3613;;;;188;;443;191;1265;71;963;422;43;;;;;131;2084;;4635;;;;;80;789;;;;;;;;;;;;;;;738;1385;1265;3
4;1991;634;;20;200;3211;;;;140;;425;199;1415;81;1186;354;36;;;;;112;2085;;4485;;;;;133;787;;;;;;;;;;;;;;;654;1540;1415;3
5;1991;650;;20;146;3051;;;;78;;553;231;1449;82;931;335;27;;;;;147;2185;;4269;;;;;163;845;;;;;;;;;;;;;;;670;1266;1449;3
6;1991;647;;14;201;2977;;;;111;;518;178;1354;82;831;342;37;;;;;81;1992;;4192;;;;;157;802;;;;;;;;;;;;;;;661;1173;1354;3
7;1991;558;;14;201;2784;;;;126;;496;186;1365;82;797;308;25;;;;;94;1978;;4304;;;;;203;870;;;;;;;;;;;;;;;572;1105;1365;3
8;1991;557;;11;209;3134;;;;79;;498;189;1347;71;813;299;29;;;;;88;1835;;4435;;;;;215;809;;;;;;;;;;;;;;;568;1112;1347;3
9;1991;542;;19;146;3026;;;;71;;473;199;1353;91;805;281;12;;;;;90;1993;;4270;;;;;179;756;;;;;;;;;;;;;;;561;1086;1353;3
10;1991;613;;21;200;3482;;;;95;;561;228;1470;83;834;328;16;;;;;107;1999;;4483;;;;;184;818;;;;;;;;;;;;;;;634;1162;1470;3
11;1991;577;;13;192;3300;;;;50;;569;239;1600;94;978;409;26;;;;;97;2039;;4485;;;;;170;886;;;;;;;;;;;;;;;590;1387;1600;3
12;1991;638;;16;202;4003;;;;95;;563;242;1563;157;1022;358;24;;;;;131;1930;;4591;;;;;122;905;;;;;;;;;;;;;;;654;1380;1563;3
1;1992;617;;19;176;3155;;;;90;;579;271;1801;172;962;373;12;;;;;126;2357;;4956;;;;;189;984;;;;;;;;;;;;;;;636;1335;1801;3
2;1992;691;;27;184;3413;;;;90;;613;300;1877;200;967;426;28;;;;;139;2236;;4650;;;;;154;917;;;;;;;;;;;;;;;718;1393;1877;3
3;1992;767;;12;181;3732;;;;72;;559;250;1825;172;1069;426;27;;;;;82;2241;;4922;;;;;179;951;;;;;;;;;;;;;;;779;1495;1825;3
4;1992;648;;29;172;3293;;;;66;;544;268;2090;182;1050;438;13;;;;;119;2199;;4716;;;;;138;969;;;;;;;;;;;;;;;677;1488;2090;3
5;1992;639;;28;196;3042;;;;56;;523;276;2194;143;940;439;16;;;;;126;2422;;4638;;;;;149;1042;;;;;;;;;;;;;;;667;1379;2194;3
6;1992;583;;26;145;3013;;;;61;;444;237;2220;171;901;417;10;;;;;93;2340;;4413;;;;;158;933;;;;;;;;;;;;;;;609;1318;2220;3
